"New password","Nueva contraseña"
"What&#8217;s the difference between categories and tags? Normally, tags are ad-hoc keywords that identify important information in your post (names, subjects, etc) that may or may not recur in other posts, while categories are pre-determined sections. If you think of your site like a book, the categories are like the Table of Contents and the tags are like the terms in the index.","¿Cuál es la diferencia entre categorías y etiquetas? Normalmente, las etiquetas son palabras clave que identifican información importante en tus entradas (nombres, asuntos, etc...) que pueden ser recurrentes o no en otras entradas, mientras que las categorías son secciones predeterminadas. Si piensas en tu sitio como en un libro, las categorías sería la tabla de contenidos mientras que las etiquetas serían como los términos en el índice."
"When adding a new category on this screen, you&#8217;ll fill in the following fields:","Cuando añades una nueva categoría en esta pantalla, rellenas los siguientes campos."
"When adding a new tag on this screen, you&#8217;ll fill in the following fields:","Cuando añadas una nueva etiqueta en esta pantalla, rellenarás los siguientes campos:"
"<strong>Name</strong> - The name is how it appears on your site.","<strong>Nombre</strong> - El nombre es como aparece en tu sitio"
"<strong>Slug</strong> - The &#8220;slug&#8221; is the URL-friendly version of the name. It is usually all lowercase and contains only letters, numbers, and hyphens.","<strong>Slug</strong> - La &#8220;slug &#8221; es la versión amigable de la URL. Normalmente, son todo minúsculas y contiene sólo letras, números y guiones."
"<strong>Parent</strong> - Categories, unlike tags, can have a hierarchy. You might have a Jazz category, and under that have child categories for Bebop and Big Band. Totally optional. To create a subcategory, just choose another category from the Parent dropdown.","<strong>Superior</strong> - Las categorías, al contrario que las etiquetas, pueden tener jerarquías. Podrías tener una categoría Jazz, y bajo ella categorías hijas para Bebop y Big Band. Es totalmente opcional. Para crear una subcategoría simplemente elige otra categoría del desplegable Superior."
"<strong>Description</strong> - The description is not prominent by default; however, some themes may display it.","<strong>Descripción</strong> - La descripción no se muestra por defecto, pero algunos temas la podrían mostrar."
"You can change the display of this screen using the Screen Options tab to set how many items are displayed per screen and to display/hide columns in the table.","Puedes cambiar la forma de visualización de esta pantalla usando la pestaña Opciones de pantalla para marcar cuántos elementos se muestran por pantalla y mostrar/esconder columnas."
"Adding Categories","Añadir categorías"
"Adding Tags","Añadir etiquetas"
"<a href=\"http://codex.wordpress.org/Posts_Categories_Screen\" target=\"_blank\">Documentation on Categories</a>","<a href=\"http://codex.wordpress.org/Posts_Categories_Screen\" target=\"_blank\">Documentación sobre las categorías</a>"
"<a href=\"http://codex.wordpress.org/Links_Link_Categories_Screen\" target=\"_blank\">Documentation on Link Categories</a>","<a href=\"http://codex.wordpress.org/Links_Link_Categories_Screen\" target=\"_blank\"> Documentación sobre categorías de enlaces</a>"
"<a href=\"http://codex.wordpress.org/Posts_Tags_Screen\" target=\"_blank\">Documentation on Tags</a>","<a href=\"http://codex.wordpress.org/Posts_Post_Tags_Screen\" target=\"_blank\">Documentación sobre etiquetas de las entradas</a>"
"Item added.","Añadido."
"Item deleted.","Eliminado."
"Item updated.","Actualizado."
"Item not added.","No añadido."
"Item not updated.","No actualizado."
"Items deleted.","Eliminados."
"<strong>Note:</strong><br />Deleting a category does not delete the posts in that category. Instead, posts that were only assigned to the deleted category are set to the category <strong>%s</strong>.","<strong>Nota:</strong><br />Al borrar una categoría no borrarás las entradas que hay en ella. En su lugar, las entradas que sólo estén asignadas a esa categoría se asignarán a la categoría <strong>%s</strong>."
"Categories can be selectively converted to tags using the <a href=\"%s\">category to tag converter</a>.","Las categorías se pueden convertir a voluntad en etiquetas usando el <a href=\"%s\">conversor de categorías a etiquetas</a>."
"Tags can be selectively converted to categories using the <a href=\"%s\">tag to category converter</a>.","Puedes elegir las etiquetas que quieras y convertirlas en categorías utilizando el <a href=\"%s\">conversor de etiquetas a categorías</a>."
"You are not allowed to move this item to the Trash.","No te está permitido mover este elemento a la papelera."
"Error in moving to Trash.","Error moviendo a la papelera."
"You are not allowed to restore this item from the Trash.","No estás autorizado para restaurar este elemento de la papelera."
"Error in restoring from Trash.","Error al restaurar de la papelera."
"You are not allowed to delete this item.","No tienes autorización para borrar este elemento."
"Error in deleting...","Error al borrar..."
"This screen provides access to all of your posts. You can customize the display of this screen to suit your workflow.","Esta pantalla te da acceso a todas tus entradas. Puedes personalizar el formato de esta pantalla para acomodarlo a tu sistema de trabajo."
"Screen Content","Pantalla de contenido"
"You can customize the display of this screen&#8217;s contents in a number of ways:","Puedes personalizar el formato de los contenidos de esta pantalla&#8217;s de muchas formas:"
"You can hide/display columns based on your needs and decide how many posts to list per screen using the Screen Options tab.","Puedes esconder/mostrar columnas basándote en tus necesidades y decidir cuántas entradas se mostrarán por pantalla utilizando la pestaña Opciones de pantalla."
"You can filter the list of posts by post status using the text links in the upper left to show All, Published, Draft, or Trashed posts. The default view is to show all posts.","Puedes filtrar la lista de entradas por estados usando los enlaces que aparecen en la parte superior izquierda para mostrar Todas, Publicado, Borrador o entradas en Papelera. La vista por defecto es mostrar todas las entradas."
"You can view posts in a simple title list or with an excerpt. Choose the view you prefer by clicking on the icons at the top of the list on the right.","Puedes ver las entradas en un listado que muestre sólo los títulos o un fragmento del contenido. Selecciona la vista que prefieras realizando un clic en los iconos que encontrarás en la parte superior derecha del listado."
"You can refine the list to show only posts in a specific category or from a specific month by using the dropdown menus above the posts list. Click the Filter button after making your selection. You also can refine the list by clicking on the post author, category or tag in the posts list.","Puedes refinar lo que muestra el listado de entradas haciendo que sólo se muestren las de una categoría específica o de un mes determinado usando el menú desplegable que encontrarás sobre el listado de entradas. Realiza un clic sobre el botón Filtro después de realizar tu selección. También puedes refinar el listado haciendo clic sobre el autor de una entrada, categoría o etiqueta del listado de entradas."
"Available Actions","Acciones disponibles"
"Hovering over a row in the posts list will display action links that allow you to manage your post. You can perform the following actions:","Pasando sobre la línea de la entrada, mostrará los enlaces de las acciones, permitiéndote gestionar la entrada. Puedes realizar las siguientes acciones:"
"<strong>Edit</strong> takes you to the editing screen for that post. You can also reach that screen by clicking on the post title.","<strong>Editar</strong> te lleva a la pantalla de edición de esa entrada. También puede llegar hasta ella haciendo clic en el título de la entrada."
"<strong>Quick Edit</strong> provides inline access to the metadata of your post, allowing you to update post details without leaving this screen.","<strong>Edición Rápida</strong> proporciona acceso en línea a los metadatos de tu artículo, permitiéndote actualizar detalles del artículo sin dejar la pantalla. "
"<strong>Trash</strong> removes your post from this list and places it in the trash, from which you can permanently delete it.","<strong>Papelera</strong> elimina tu artículo de esta lista y lo añade a la papelera, donde puedes borrarlo permanentemente. "
"<strong>Preview</strong> will show you what your draft post will look like if you publish it. View will take you to your live site to view the post. Which link is available depends on your post&#8217;s status.","<strong>Previsualizacón</strong> mostrará cómo se verá tu borrador si se publica. Ver te llevará a tu sitio para ver el artículo. El enlace que esté disponible dependerá del estado del artículo."
"Bulk Actions","Acciones en lote"
"You can also edit or move multiple posts to the trash at once. Select the posts you want to act on using the checkboxes, then select the action you want to take from the Bulk Actions menu and click Apply.","También puedes editar o mover varias entradas a la basura a la vez. Selecciona los mensajes sobre los que deseas actuar utilizando las casillas de verificación. A continuaciónselecciona la acción a realizar en el menú Acciones en Bloque y haz clic en Aplicar."
