"New password","Nové heslo"
"Images should be at least <strong>%s1$d pixels</strong> wide.","Obrázky pro záhlaví by měly být široké alespoň <strong>%s1$d pixelů</strong>."
"Images should be at least <strong>%s1$d pixels</strong> tall.","Obrázky pro záhlaví by měly být vysoké alespoň <strong>%s1$d pixelů</strong>."
"Suggested width is <strong>%s1$d pixels</strong>.","Doporučená šířka je <strong>%s1$d pixelů</strong>."
"Suggested height is <strong>%s1$d pixels</strong>.","Doporučená výška je <strong>%s1$d pixelů</strong>."
"Choose a Custom Header","Obrázek v záhlaví"
"Set as header","Použít jako obrázek v záhlaví"
"Uploaded Images","Nahrané obrázky"
"You can choose one of your previously uploaded headers, or show a random one.","Můžete si vybrat některý z dříve nahraných obrázků nebo náhodně zobrazovat v záhlaví každé stránky webu jiný obrázek."
"Default Images","Výchozí obrázky"
"If you don&lsquo;t want to upload your own image, you can use one of these cool headers, or show a random one.","Pokud nechcete nahrávat žádný vlastní obrázek, můžete rovnou použít některý z připravených obrázků nebo náhodně zobrazovat na každé stránce webu jiný obrázek."
"You can use one of these cool headers or show a random one on each page.","Můžete použít některý z připravených obrázků nebo náhodně zobrazovat na každé stránce webu jiný obrázek."
"This will remove the header image. You will not be able to restore any customizations.","Pomocí následujícího tlačítka odstraníte aktuální obrázek ze záhlaví. Žádné další provedené úpravy tohoto nastavení však nebude možné obnovit."
"Remove Header Image","Odstranit obrázek ze záhlaví"
"Reset Image","Obnovit obrázek"
"This will restore the original header image. You will not be able to restore any customizations.","Pomocí následujícího tlačítka obnovíte původní obrázek v záhlaví. Žádné další provedené úpravy tohoto nastavení však nebude možné obnovit."
"Restore Original Header Image","Obnovit původní obrázek v záhlaví"
"Show header text with your image.","Zobrazit text v záhlaví webu."
"Text Color","Barva textu"
"Default: %s","Výchozí barva: %s"
"Image could not be processed. Please go back and try again.","Obrázek se nepodařilo zpracovat. Vraťte se prosím zpět a zkuste to znovu."
"Image Processing Error","Při zpracování obrázku došlo k chybě"
"Crop Header Image","Oříznout obrázek pro záhlaví"
"Choose the part of the image you want to use as your header.","Vyberte část obrázku, kterou budete chtít zobrazit v záhlaví."
"You need Javascript to choose a part of the image.","Abyste mohli vybrat vhodnou část obrázku pro záhlaví, musíte mít v prohlížeči povolen Javascript."
"Crop and Publish","Oříznout obrázek a zobrazit ho v záhlaví webu"
"Skip Cropping, Publish Image as Is","Neořezávat obrázek a zobrazit ho v původní podobě"
"Image Upload Error","Při nahrávání obrázku došlo k chybě"
"You do not have permission to customize headers.","Nemáte dostatečné oprávnění pro úpravy záhlaví."
"Customize %s","Aktuální náhled šablony %s"
"Theme Customizer Options",""
"You are previewing %s","Aktuální náhled šablony %s"
"Collapse Sidebar","Zmenšit postranní panel"
"Collapse","Zmenšit"
"Comments on &#8220;%s&#8221;","Komentáře k příspěvku &#8222;%s&#8220;"
"You can manage comments made on your site similar to the way you manage posts and other content. This screen is customizable in the same ways as other management screens, and you can act on comments using the on-hover action links or the Bulk Actions.","Komentáře, které čtenáři vkládají k jednotlivým textům na webu, můžete jednoduše spravovat podobně, jako to děláte s příspěvky a dalším obsahem webu. Zobrazený výpis komentářů i jeho filtrování je možné na této stránce libovolně přizpůsobovat, a to stejným způsobem jako na dalších stránkách administrace WordPressu. Jednotlivé komentáře lze jednoduše moderovat pomocí textových odkazů, které se objeví po přejetí kurzorem myši nad zvoleným komentářem, ale využívat můžete také hromadné úpravy."
"Moderating Comments","Správa komentářů"
"A yellow row means the comment is waiting for you to moderate it.","Pokud je nějaký řádek s komentářem žlutě podbarven, znamená to, že tento komentář ještě nebyl moderován."
"In the <strong>Author</strong> column, in addition to the author&#8217;s name, email address, and blog URL, the commenter&#8217;s IP address is shown. Clicking on this link will show you all the comments made from this IP address.","V prvním sloupci s názvem <strong>Autor</strong> je uvedeno nejen jméno autora komentáře, jeho emailová adresa a URL adresa webu, ale také IP adresa počítače, odkud byl komentář odeslán. Kliknutím na odkaz s touto IP adresou pak zobrazíte na této stránce pouze komentáře, které z ní byly na web vloženy."
"In the <strong>Comment</strong> column, above each comment it says &#8220;Submitted on,&#8221; followed by the date and time the comment was left on your site. Clicking on the date/time link will take you to that comment on your live site. Hovering over any comment gives you options to approve, reply (and approve), quick edit, edit, spam mark, or trash that comment.","Sloupec <strong>Komentář</strong> obsahuje zejména samotný obsah komentáře, ale můžete nad ním vidět i text &#8222;Vloženo&#8220; společně s datem a přesným časem, kdy byl komentář odeslán. Po kliknutí na odkaz s datem a časem budete přesměrováni na konkrétní umístění tohoto komentáře na webu. Pokud přejedete ukazatelem myši přes libovolný komentář na této stránce, zobrazí se všechny dostupné možnosti pro jeho moderování: Schválit, Odpovědět (a tím také automaticky schválit původní komentář), Rychlé úpravy, Upravit, Spam a Odstranit."
"In the <strong>In Response To</strong> column, there are three elements. The text is the name of the post that inspired the comment, and links to the post editor for that entry. The View Post link leads to that post on your live site. The small bubble with the number in it shows the number of approved comments that post has received. If the bubble is gray, you have moderated all comments for that post. If it is blue, there are pending comments. Clicking the bubble will filter the comments screen to show only comments on that post.",""
"Many people take advantage of keyboard shortcuts to moderate their comments more quickly. Use the link to the side to learn more.","Mnoho uživatelů používá klávesové zkratky, jejichž výhodou je rychlejší a efektivnější správa komentářů na webu. Pokud se chcete dozvědět další podrobnosti, použijte příslušný odkaz na manuál."
"<a href=\"http://codex.wordpress.org/Comment_Spam\" target=\"_blank\">Documentation on Comment Spam</a>","<a href=\"http://codex.wordpress.org/Comment_Spam\" target=\"_blank\">Manuál pro komentářový spam</a> (anglicky)"
"<a href=\"http://codex.wordpress.org/Keyboard_Shortcuts\" target=\"_blank\">Documentation on Keyboard Shortcuts</a>","<a href=\"http://codex.wordpress.org/Keyboard_Shortcuts\" target=\"_blank\">Manuál pro klávesové zkratky</a> (anglicky)"
"Search results for &#8220;%s&#8221;","Výsledky vyhledávání &#8222;%s&#8220;"
"%s comment approved","%s komentář schválen"
"%s comments approved","%s komentáře schváleny"
"%s comment marked as spam.","%s komentář byl označen jako spam."
"%s comments marked as spam.","%s komentáře byly označeny jako spam."
"%s comment restored from the spam","%s komentář byl označen, že není spam"
"%s comments restored from the spam","%s komentáře byly označeny, že nejsou spam"
"%s comment moved to the Trash.","%s komentář byl přesunut do koše."
"%s comments moved to the Trash.","%s komentáře byly přesunuty do koše."
"%s comment restored from the Trash","%s komentář byl obnoven z koše"
"%s comments restored from the Trash","%s komentáře byly obnoveny z koše"
"%s comment permanently deleted","%s komentář byl nenávratně smazán"
"%s comments permanently deleted","%s komentáře byly nenávratně smazány"
"This comment is already approved.","Tento komentář už byl schválen."
"This comment is already in the Trash.","Tento komentář už je v koši."
"View Trash","Zobrazit koš"
"This comment is already marked as spam.","Tento komentář už byl označen jako spam."
"Search Comments","Hledat komentáře"
"Post updated. <a href=\"%s\">View post</a>","Příspěvek byl aktualizován. <a href=\"%s\">Zobrazit příspěvek</a>"
"Custom field updated.","Uživatelské pole bylo aktualizováno."
"Custom field deleted.","Uživatelské pole bylo smazáno."
"Post updated.","Příspěvek byl aktualizován."
"Post restored to revision from %s","Byla obnovena následující verze příspěvku %s"
"Post published. <a href=\"%s\">View post</a>","Příspěvek byl publikován. <a href=\"%s\">Zobrazit příspěvek</a>"
"Post saved.","Příspěvek byl aktualizován."
"Post submitted. <a target=\"_blank\" href=\"%s\">Preview post</a>","Příspěvek byl odeslán ke schválení. <a target=\"_blank\" href=\"%s\">Zobrazit náhled příspěvku</a>"
"Post scheduled for: <strong>%s</strong>. <a target=\"_blank\" href=\"%s\">Preview post</a>","Příspěvek bude automaticky publikován: <strong>%s</strong>. <a target=\"_blank\" href=\"%s\">Zobrazit náhled příspěvku</a>"
"M j, Y @ G:i","j.n.Y, G:i"
"Post draft updated. <a target=\"_blank\" href=\"%s\">Preview post</a>","Koncept příspěvku byl uložen. <a target=\"_blank\" href=\"%s\">Zobrazit náhled příspěvku</a>"
"Page updated. <a href=\"%s\">View page</a>","Stránka byla aktualizována. <a href=\"%s\">Zobrazit stránku</a>"
"Page updated.","Stránka byla aktualizována."
"Page restored to revision from %s","Byla obnovena verze stránky %s"
"Page published. <a href=\"%s\">View page</a>","Stránka byla publikována. <a href=\"%s\">Zobrazit stránku</a>"
"Page saved.","Stránka byla aktualizována."
"Page submitted. <a target=\"_blank\" href=\"%s\">Preview page</a>","Stránka byla odeslána ke schválení. <a target=\"_blank\" href=\"%s\">Zobrazit náhled stránky</a>"
"Page scheduled for: <strong>%s</strong>. <a target=\"_blank\" href=\"%s\">Preview page</a>","Stránka bude automaticky publikována: <strong>%s</strong>. <a target=\"_blank\" href=\"%s\">Zobrazit náhled stránky</a>"
"Page draft updated. <a target=\"_blank\" href=\"%s\">Preview page</a>","Koncept stránky byl uložen. <a target=\"_blank\" href=\"%s\">Zobrazit náhled stránky</a>"
"Media attachment updated.","Mediální soubor byl aktualizován."
"There is an autosave of this post that is more recent than the version below. <a href=\"%s\">View the autosave</a>","Automaticky uložená verze tohoto příspěvku je novější než aktuálně používaná verze. <a href=\"%s\">Zobrazit automaticky uloženou verzi</a>"
"Page Attributes","Vlastnosti stránky"
"Attributes","Vlastnosti stránky"
"Featured Image","Náhledový obrázek"
"Send Trackbacks","Odeslat trackbacky"
"Custom Fields","Uživatelská pole"
"Discussion","Komentáře"
"Slug","Název v URL"
"The title field and the big Post Editing Area are fixed in place, but you can reposition all the other boxes using drag and drop. You can also minimize or expand them by clicking the title bar of each box. Use the Screen Options tab to unhide more boxes (Excerpt, Send Trackbacks, Custom Fields, Discussion, Slug, Author) or to choose a 1- or 2-column layout for this screen.",""
"Customizing This Display","Rozvržení stránky"
"<strong>Title</strong> - Enter a title for your post. After you enter a title, you&#8217;ll see the permalink below, which you can edit.","<strong>Název</strong> - Do úvodního pole můžete vložit nějaký výstižný název vytvářeného příspěvku. Jakmile ho zadáte, ihned se pod ním menším písmem zobrazí automaticky vygenerovaný trvalý odkaz, který můžete také upravovat."
"<strong>Post editor</strong> - Enter the text for your post. There are two modes of editing: Visual and Text. Choose the mode by clicking on the appropriate tab. Visual mode gives you a WYSIWYG editor. Click the last icon in the row to get a second row of controls. The Text mode allows you to enter HTML along with your post text. Line breaks will be converted to paragraphs automatically. You can insert media files by clicking the icons above the post editor and following the directions. You can go to the distraction-free writing screen via the Fullscreen icon in Visual mode (second to last in the top row) or the Fullscreen button in Text mode (last in the row). Once there, you can make buttons visible by hovering over the top area. Exit Fullscreen back to the regular post editor.",""
