"New password","新規パスワード"
"You can set a custom image header for your site. Simply upload the image and crop it, and the new header will go live immediately. Alternatively, you can use an image that has already been uploaded to your Media Library by clicking the &#8220;Choose Image&#8221; button.","サイトのカスタム画像ヘッダーを設定できます。画像をアップロードして切り抜くと、新しい画像がすぐに表示されます。また、すでにメディアライブラリにアップロードされた画像を「画像を選択」ボタンで選択して使うこともできます。"
"Some themes come with additional header images bundled. If you see multiple images displayed, select the one you&#8217;d like and click the &#8220;Save Changes&#8221; button.","一部のテーマには追加のヘッダー画像が同梱されています。複数の画像が表示されている場合、使いたいものを選択して「変更を保存」ボタンをクリックしてください。"
"If your theme has more than one default header image, or you have uploaded more than one custom header image, you have the option of having WordPress display a randomly different image on each page of your site. Click the &#8220;Random&#8221; radio button next to the Uploaded Images or Default Images section to enable this feature.","お使いのテーマに2個以上の画像が同梱されていたり、2個以上のカスタムヘッダー画像をアップロードしていたりする場合、各ページでランダムに違う画像を表示させるオプションが利用できます。この機能を利用するにはアップロードした画像もしくはデフォルトの画像の横の &#8220;ランダム&#8221; ラジオボタンをクリックしてください。"
"If you don&#8217;t want a header image to be displayed on your site at all, click the &#8220;Remove Header Image&#8221; button at the bottom of the Header Image section of this page. If you want to re-enable the header image later, you just have to select one of the other image options and click &#8220;Save Changes&#8221;.","ヘッダー画像がまったく表示させないようにするには、このページのヘッダー画像セクションの下の「ヘッダー画像を削除」ボタンをクリックしてください。ヘッダー画像を再び表示させるには、画像の一つを選択して「変更を保存」ボタンをクリックします。"
"Header Text","ヘッダーのテキスト"
"For most themes, the header text is your Site Title and Tagline, as defined in the <a href=\"%s\">General Settings</a> section.","たいていのテーマでは、「サイトタイトル」と「キャッチフレーズ」がヘッダーテキストととして表示されます。これは <a href=\"%s\">一般設定</a> で設定できます。"
"In the Header Text section of this page, you can choose whether to display this text or hide it. You can also choose a color for the text by clicking the Select Color button and either typing in a legitimate HTML hex value, e.g. &#8220;#ff0000&#8221; for red, or by choosing a color using the color picker.","このページのヘッダーテキストセクションでは、このテキストを表示するか隠すかを選べます。テキストの色を変えるには、色選択ボタンをクリックして正当な HTML 16進数値 (例えば赤色として &#8220;#ff0000&#8221;) を入力するか、カラーピッカーから色を選びます。"
"Don&#8217;t forget to click &#8220;Save Changes&#8221; when you&#8217;re done!","終了したら「変更を保存」ボタンを必ずクリックしてください。"
"<a href=\"http://codex.wordpress.org/Appearance_Header_Screen\" target=\"_blank\">Documentation on Custom Header</a>","<a href=\"http://wpdocs.sourceforge.jp/Appearance_Header_SubPanel\" target=\"_blank\">ヘッダーの解説</a>"
"<strong>Random:</strong> Show a different image on each page.","<strong>ランダム:</strong> それぞれのページで異なる画像を表示します。"
"Custom Header","カスタムヘッダー"
"Header updated. <a href=\"%s\">Visit your site</a> to see how it looks.","ヘッダーを更新しました。<a href=\"%s\">サイトを表示</a>して、確認してください。"
"You can select an image to be shown at the top of your site by uploading from your computer or choosing from your media library. After selecting an image you will be able to crop it.","サイトの上部に表示する画像をパソコン内からアップロードするか、メディアライブラリから選択することができます。画像指定後の切り抜きも可能です。"
"Images of exactly <strong>%s1$d &times; %s2$d pixels</strong> will be used as-is.","画像の大きさを<strong>%s1$d &times; %s2$dピクセル</strong>にするとそのままの大きさで表示されます。"
"Images should be at least <strong>%s1$d pixels</strong> wide.","画像の横幅は<strong>%s1$d px</strong>以上にしてください。"
"Images should be at least <strong>%s1$d pixels</strong> tall.","画像の高さは<strong>%s1$d px</strong>以上にしてください。"
"Suggested width is <strong>%s1$d pixels</strong>.","おすすめの横幅は<strong>%s1$d px</strong>です。"
"Suggested height is <strong>%s1$d pixels</strong>.","おすすめの高さは<strong>%s1$d px</strong>です。"
"Choose a Custom Header","カスタムヘッダーを選択"
"Set as header","ヘッダーとして設定"
"Uploaded Images","アップロードした画像"
"You can choose one of your previously uploaded headers, or show a random one.","過去にアップロードしたヘッダー画像を選ぶか、またはそれらをランダムに表示させることができます。 "
"Default Images","デフォルト画像"
"If you don&lsquo;t want to upload your own image, you can use one of these cool headers, or show a random one.","自分の画像をアップロードしたくない場合は、各ページに以下のヘッダーを選ぶかランダムに表示できます。"
"You can use one of these cool headers or show a random one on each page.","各ページに以下のヘッダーを選ぶか、ランダムに表示できます。"
"This will remove the header image. You will not be able to restore any customizations.","この操作を行うとヘッダー画像を削除します。変更した設定は復元できません。"
"Remove Header Image","ヘッダー画像を削除"
"Reset Image","画像をリセット"
"This will restore the original header image. You will not be able to restore any customizations.","この操作を行うと元のヘッダー画像を復元します。変更した設定は復元できません。"
